,n_workers,wallclock_time,steps_per_second,simulator,parallellisation,model,parition,control_inputs,rendering
0,1,3.9160428047180176,25535.982364523898,mujoco,multiprocessing,ant,test,none,none
1,2,3.9010560512542725,51268.168765659175,mujoco,multiprocessing,ant,test,none,none
2,4,3.885349988937378,102950.82840385193,mujoco,multiprocessing,ant,test,none,none
3,8,3.9522171020507812,202418.03001785628,mujoco,multiprocessing,ant,test,none,none
4,16,3.9420578479766846,405879.3812021866,mujoco,multiprocessing,ant,test,none,none
5,32,3.9752631187438965,804978.1623036655,mujoco,multiprocessing,ant,test,none,none
6,64,5.031796455383301,1271911.5442662467,mujoco,multiprocessing,ant,test,none,none
7,128,9.933818340301514,1288527.690109893,mujoco,multiprocessing,ant,test,none,none
