,model,n_steps,n_envs,run_time,steps_per_second
0,humanoid_mjx.xml,1,1,0.00016760826110839844,5966.2930298719775
1,humanoid_mjx.xml,1,1,8.058547973632812e-05,12409.183431952662
2,humanoid_mjx.xml,1,1,6.794929504394531e-05,14716.856140350877
3,humanoid_mjx.xml,1,2,0.00010251998901367188,19508.39069767442
4,humanoid_mjx.xml,1,2,9.012222290039062e-05,22192.084656084655
5,humanoid_mjx.xml,1,2,8.630752563476562e-05,23172.950276243093
6,humanoid_mjx.xml,1,3,0.00011420249938964844,26269.127348643007
7,humanoid_mjx.xml,1,3,0.00011134147644042969,26944.13704496788
8,humanoid_mjx.xml,1,4,0.00013685226440429688,29228.59930313589
9,humanoid_mjx.xml,1,5,0.00016689300537109375,29959.314285714285
10,humanoid_mjx.xml,1,6,0.00019049644470214844,31496.650813516895
11,humanoid_mjx.xml,1,7,0.0002090930938720703,33477.9110604333
12,humanoid_mjx.xml,1,8,0.00023055076599121094,34699.516028955535
13,humanoid_mjx.xml,1,10,0.0002796649932861328,35757.0673486786
14,humanoid_mjx.xml,1,11,0.00031876564025878906,34508.11069558714
15,humanoid_mjx.xml,1,13,0.0003509521484375,37042.086956521736
16,humanoid_mjx.xml,1,16,0.0004296302795410156,37241.32297447281
17,humanoid_mjx.xml,1,19,0.0004966259002685547,38258.17378780605
18,humanoid_mjx.xml,1,23,0.0005960464477539062,38587.5968
19,humanoid_mjx.xml,1,27,0.00069427490234375,38889.494505494506
20,humanoid_mjx.xml,1,32,0.0008106231689453125,39475.80235294117
21,humanoid_mjx.xml,1,38,0.0009548664093017578,39796.14282147316
22,humanoid_mjx.xml,1,45,0.0011281967163085938,39886.66103127642
23,humanoid_mjx.xml,1,54,0.0013394355773925781,40315.48878604486
24,humanoid_mjx.xml,1,64,0.001598358154296875,40041.08830548926
25,humanoid_mjx.xml,1,76,0.0018718242645263672,40602.10215259203
26,humanoid_mjx.xml,1,91,0.002233743667602539,40738.78364820152
27,humanoid_mjx.xml,1,108,0.0026390552520751953,40923.73583882916
28,humanoid_mjx.xml,1,128,0.0031461715698242188,40684.367384055775
29,humanoid_mjx.xml,1,152,0.0037047863006591797,41028.007465087845
30,humanoid_mjx.xml,1,181,0.0044248104095458984,40905.707419580795
31,humanoid_mjx.xml,1,215,0.005222320556640625,41169.43754565376
32,humanoid_mjx.xml,1,256,0.006227016448974609,41111.18094800521
33,humanoid_mjx.xml,1,304,0.007364749908447266,41277.708514082224
34,humanoid_mjx.xml,1,362,0.008796930313110352,41150.71816136813
35,humanoid_mjx.xml,1,431,0.010411262512207031,41397.4769625355
36,humanoid_mjx.xml,1,512,0.012431621551513672,41185.29492539603
37,humanoid_mjx.xml,1,1,7.677078247070312e-05,13025.788819875776
38,humanoid_mjx.xml,1,1,6.246566772460938e-05,16008.79389312977
39,humanoid_mjx.xml,1,1,6.0558319091796875e-05,16513.007874015748
40,humanoid_mjx.xml,1,2,8.440017700195312e-05,23696.632768361582
41,humanoid_mjx.xml,1,2,8.392333984375e-05,23831.272727272728
42,humanoid_mjx.xml,1,2,8.940696716308594e-05,22369.621333333333
43,humanoid_mjx.xml,1,3,0.00010967254638671875,27354.15652173913
44,humanoid_mjx.xml,1,3,0.00010824203491210938,27715.665198237886
45,humanoid_mjx.xml,1,4,0.00013208389282226562,30283.783393501806
46,humanoid_mjx.xml,1,5,0.00015687942504882812,31871.61094224924
47,humanoid_mjx.xml,1,6,0.0001800060272216797,33332.217218543046
48,humanoid_mjx.xml,1,7,0.00021004676818847656,33325.911464245175
49,humanoid_mjx.xml,1,8,0.00023317337036132812,34309.235173824134
50,humanoid_mjx.xml,1,10,0.000278472900390625,35910.13698630137
51,humanoid_mjx.xml,1,11,0.00030875205993652344,35627.29266409267
52,humanoid_mjx.xml,1,13,0.00035119056701660156,37016.93957909029
53,humanoid_mjx.xml,1,16,0.00042176246643066406,37936.04522328999
54,humanoid_mjx.xml,1,19,0.0004971027374267578,38221.47529976019
55,humanoid_mjx.xml,1,23,0.0005946159362792969,38680.42983159583
56,humanoid_mjx.xml,1,27,0.0006859302520751953,39362.60271115746
57,humanoid_mjx.xml,1,32,0.0008094310760498047,39533.940500736375
58,humanoid_mjx.xml,1,38,0.0009524822235107422,39895.7576971214
59,humanoid_mjx.xml,1,45,0.0011200904846191406,40175.32567049808
60,humanoid_mjx.xml,1,54,0.0013391971588134766,40322.66619191739
61,humanoid_mjx.xml,1,64,0.001575469970703125,40622.799031477
62,humanoid_mjx.xml,1,76,0.0018684864044189453,40674.63366083961
63,humanoid_mjx.xml,1,91,0.0022263526916503906,40874.026986506746
64,humanoid_mjx.xml,1,108,0.002630949020385742,41049.82618939737
65,humanoid_mjx.xml,1,128,0.0031435489654541016,40718.30959423587
66,humanoid_mjx.xml,1,152,0.00370025634765625,41078.23505154639
67,humanoid_mjx.xml,1,181,0.004395723342895508,41176.38574605413
68,humanoid_mjx.xml,1,215,0.005212306976318359,41248.5298691794
69,humanoid_mjx.xml,1,256,0.006187915802001953,41370.95723202589
70,humanoid_mjx.xml,1,304,0.007339954376220703,41417.151172610924
71,humanoid_mjx.xml,1,362,0.008729934692382812,41466.51868035831
72,humanoid_mjx.xml,1,431,0.010396718978881836,41455.3861535992
73,humanoid_mjx.xml,1,512,0.01239466667175293,41308.08948390944
74,humanoid_mjx.xml,1,1,7.43865966796875e-05,13443.28205128205
75,humanoid_mjx.xml,1,1,6.222724914550781e-05,16070.130268199233
76,humanoid_mjx.xml,1,1,6.532669067382812e-05,15307.678832116788
77,humanoid_mjx.xml,1,2,8.535385131835938e-05,23431.86592178771
78,humanoid_mjx.xml,1,2,8.368492126464844e-05,23899.168091168092
79,humanoid_mjx.xml,1,2,8.392333984375e-05,23831.272727272728
80,humanoid_mjx.xml,1,3,0.00010776519775390625,27838.300884955752
81,humanoid_mjx.xml,1,3,0.00010800361633300781,27776.847682119205
82,humanoid_mjx.xml,1,4,0.00013208389282226562,30283.783393501806
83,humanoid_mjx.xml,1,5,0.000156402587890625,31968.780487804877
84,humanoid_mjx.xml,1,6,0.00018525123596191406,32388.447876447877
85,humanoid_mjx.xml,1,7,0.00020551681518554688,34060.47331786543
86,humanoid_mjx.xml,1,8,0.00022864341735839844,34988.98018769552
87,humanoid_mjx.xml,1,10,0.0002772808074951172,36064.52278589854
88,humanoid_mjx.xml,1,11,0.0003058910369873047,35960.517537022606
89,humanoid_mjx.xml,1,13,0.0003490447998046875,37244.502732240435
90,humanoid_mjx.xml,1,16,0.00042557716369628906,37596.002240896356
91,humanoid_mjx.xml,1,19,0.0004937648773193359,38479.85321100918
92,humanoid_mjx.xml,1,23,0.0005924701690673828,38820.5199195171
93,humanoid_mjx.xml,1,27,0.0006902217864990234,39117.86113989637
94,humanoid_mjx.xml,1,32,0.0008051395416259766,39744.663310630734
95,humanoid_mjx.xml,1,38,0.0009534358978271484,39855.851962990746
