,model,n_steps,n_envs,run_time,steps_per_second
0,rodent.xml,1,1,0.002286672592163086,437.31665102700447
1,rodent.xml,1,1,0.0019767284393310547,505.8863828247497
2,rodent.xml,1,1,0.001962900161743164,509.4502611441759
3,rodent.xml,1,2,0.003872394561767578,516.4762960226573
4,rodent.xml,1,2,0.003846883773803711,519.9013325069724
5,rodent.xml,1,2,0.0038471221923828125,519.8691125433812
6,rodent.xml,1,3,0.0057528018951416016,521.4850180280989
7,rodent.xml,1,3,0.005736351013183594,522.9805486284289
8,rodent.xml,1,4,0.007630109786987305,524.238852607568
9,rodent.xml,1,5,0.009490013122558594,526.8696613405688
10,rodent.xml,1,6,0.011368751525878906,527.7624360372452
11,rodent.xml,1,7,0.013252973556518555,528.1833522226419
12,rodent.xml,1,8,0.015136241912841797,528.532778880383
13,rodent.xml,1,10,0.018930673599243164,528.2432211181219
14,rodent.xml,1,11,0.020797014236450195,528.9220786664986
15,rodent.xml,1,13,0.02455878257751465,529.3422000446571
16,rodent.xml,1,16,0.030199289321899414,529.8137922867406
17,rodent.xml,1,19,0.03584885597229004,530.0029661946915
18,rodent.xml,1,23,0.04349684715270996,528.7739573227216
19,rodent.xml,1,27,0.05096936225891113,529.7299947142169
20,rodent.xml,1,32,0.06033635139465332,530.3602100612876
21,rodent.xml,1,38,0.07164978981018066,530.357452557392
22,rodent.xml,1,45,0.08479833602905273,530.6707903393595
23,rodent.xml,1,54,0.10184097290039062,530.2384537588493
24,rodent.xml,1,64,0.12083721160888672,529.6381731080367
25,rodent.xml,1,76,0.14337539672851562,530.0769988027139
26,rodent.xml,1,91,0.17137455940246582,531.0006357845122
27,rodent.xml,1,108,0.203538179397583,530.6129804228881
28,rodent.xml,1,128,0.24096941947937012,531.1877344293405
29,rodent.xml,1,152,0.2864401340484619,530.651895220394
30,rodent.xml,1,181,0.34096717834472656,530.8428831147037
31,rodent.xml,1,215,0.4051785469055176,530.6302656989765
32,rodent.xml,1,256,0.48215508460998535,530.949497726604
33,rodent.xml,1,304,0.572504997253418,530.9997318074677
34,rodent.xml,1,362,0.6829757690429688,530.0334454138227
35,rodent.xml,1,431,0.8125481605529785,530.4300974685409
36,rodent.xml,1,512,0.9650166034698486,530.5608195330881
37,rodent.xml,1,1,0.001969575881958008,507.72352015494494
38,rodent.xml,1,1,0.00196075439453125,510.0077821011673
39,rodent.xml,1,1,0.0019636154174804688,509.264691597863
40,rodent.xml,1,2,0.0038497447967529297,519.5149563386387
41,rodent.xml,1,2,0.0038437843322753906,520.3205557623123
42,rodent.xml,1,2,0.003846883773803711,519.9013325069724
43,rodent.xml,1,3,0.0057294368743896484,523.6116682618285
44,rodent.xml,1,3,0.005727052688598633,523.829649057075
45,rodent.xml,1,4,0.0076122283935546875,525.4703081934352
46,rodent.xml,1,5,0.009494543075561523,526.6182859151746
47,rodent.xml,1,6,0.011365175247192383,527.928506996161
48,rodent.xml,1,7,0.013275146484375,527.3011494252873
49,rodent.xml,1,8,0.015130996704101562,528.7159964704399
50,rodent.xml,1,10,0.01889801025390625,529.1562373839322
51,rodent.xml,1,11,0.02080225944519043,528.7887130233464
52,rodent.xml,1,13,0.02456831932067871,529.1367240191369
53,rodent.xml,1,16,0.030210256576538086,529.6214535438912
54,rodent.xml,1,19,0.03587961196899414,529.5486477506811
55,rodent.xml,1,23,0.043378353118896484,530.2183772850689
56,rodent.xml,1,27,0.05087876319885254,530.6732770699293
57,rodent.xml,1,32,0.06033778190612793,530.347636076262
58,rodent.xml,1,38,0.07163190841674805,530.4898450969558
59,rodent.xml,1,45,0.0847768783569336,530.8051071488835
60,rodent.xml,1,54,0.10176634788513184,530.6272763266712
61,rodent.xml,1,64,0.1205589771270752,530.8605093135519
62,rodent.xml,1,76,0.14335060119628906,530.1686868821267
63,rodent.xml,1,91,0.17135047912597656,531.0752585237708
64,rodent.xml,1,108,0.2034590244293213,530.8194134073302
65,rodent.xml,1,128,0.24101471900939941,531.0878959015282
66,rodent.xml,1,152,0.2868959903717041,529.8087289511014
67,rodent.xml,1,181,0.340989351272583,530.8083649078843
68,rodent.xml,1,215,0.40479135513305664,531.1378251379123
69,rodent.xml,1,256,0.48210859298706055,531.0006992695749
70,rodent.xml,1,304,0.5724821090698242,531.020961500339
71,rodent.xml,1,362,0.6816468238830566,531.0668036826424
72,rodent.xml,1,431,0.8116388320922852,531.0243706414903
73,rodent.xml,1,512,0.9635262489318848,531.3814756656361
74,rodent.xml,1,1,0.00197601318359375,506.0694980694981
75,rodent.xml,1,1,0.0019538402557373047,511.8125686394143
76,rodent.xml,1,1,0.0019571781158447266,510.9397003289073
77,rodent.xml,1,2,0.003838777542114258,520.9991925967331
78,rodent.xml,1,2,0.003843069076538086,520.4173956200757
79,rodent.xml,1,2,0.003843545913696289,520.3528317101917
80,rodent.xml,1,3,0.005725860595703125,523.9387075283145
81,rodent.xml,1,3,0.0057239532470703125,524.1132955681439
82,rodent.xml,1,4,0.0076138973236083984,525.3551276029435
83,rodent.xml,1,5,0.009488821029663086,526.9358526596145
84,rodent.xml,1,6,0.011364221572875977,527.9728102381202
85,rodent.xml,1,7,0.013250112533569336,528.2973999100315
86,rodent.xml,1,8,0.015130996704101562,528.7159964704399
87,rodent.xml,1,10,0.018909692764282227,528.8293218009658
88,rodent.xml,1,11,0.02081441879272461,528.4798057318275
89,rodent.xml,1,13,0.02457141876220703,529.0699786532117
90,rodent.xml,1,16,0.03019881248474121,529.8221580098372
91,rodent.xml,1,19,0.03585553169250488,529.9042882125688
92,rodent.xml,1,23,0.043370962142944336,530.3087333916036
93,rodent.xml,1,27,0.05089592933654785,530.4942920181943
94,rodent.xml,1,32,0.06033158302307129,530.4021276511663
95,rodent.xml,1,38,0.07161760330200195,530.5958067286758
96,rodent.xml,1,45,0.08475756645202637,530.9260504248957
97,rodent.xml,1,54,0.10168671607971191,531.0428154417884
98,rodent.xml,1,64,0.12054014205932617,530.9434592212539
99,rodent.xml,1,76,0.14307904243469238,531.1749275557933
100,rodent.xml,1,91,0.1713418960571289,531.1018617983469
101,rodent.xml,1,108,0.20334315299987793,531.1218912793431
102,rodent.xml,1,128,0.24096989631652832,531.1866833019855
103,rodent.xml,1,152,0.2860546112060547,531.3670678446408
104,rodent.xml,1,181,0.3407595157623291,531.1663845837919
105,rodent.xml,1,215,0.40531039237976074,530.4576542872185
106,rodent.xml,1,256,0.4821290969848633,530.9781168590978
107,rodent.xml,1,304,0.5721814632415771,531.29998004086
108,rodent.xml,1,362,0.6812810897827148,531.3518978127734
109,rodent.xml,1,431,0.8114066123962402,531.1763466249971
110,rodent.xml,1,512,0.963824987411499,531.2167734674063
111,rodent.xml,2,1,0.0029964447021484375,667.457670273711
112,rodent.xml,2,1,0.0029807090759277344,670.9812829947208
113,rodent.xml,2,1,0.0029354095458984375,681.3359324236517
114,rodent.xml,2,2,0.005804777145385742,689.0876083295683
115,rodent.xml,2,2,0.005838871002197266,685.0639444671294
116,rodent.xml,2,2,0.00579524040222168,690.2215822602542
117,rodent.xml,2,3,0.008698701858520508,689.758092366726
118,rodent.xml,2,3,0.008665084838867188,692.4340744001761
119,rodent.xml,2,4,0.011560440063476562,692.0151790133641
120,rodent.xml,2,5,0.01442718505859375,693.1359069275516
121,rodent.xml,2,6,0.01723027229309082,696.4486571005549
122,rodent.xml,2,7,0.020136356353759766,695.2598451301238
123,rodent.xml,2,8,0.02304840087890625,694.1913273750414
124,rodent.xml,2,10,0.028655052185058594,697.9572003860618
125,rodent.xml,2,11,0.03161263465881348,695.9242795622695
126,rodent.xml,2,13,0.037320613861083984,696.6659256136047
127,rodent.xml,2,16,0.04581189155578613,698.5085948925052
128,rodent.xml,2,19,0.054534912109375,696.8013430330162
129,rodent.xml,2,23,0.06600427627563477,696.9245417964037
130,rodent.xml,2,27,0.07765412330627441,695.3912773829079
131,rodent.xml,2,32,0.09192395210266113,696.2276809913968
132,rodent.xml,2,38,0.10918664932250977,696.0557950222944
133,rodent.xml,2,45,0.12910223007202148,697.1219625702224
134,rodent.xml,2,54,0.15505146980285645,696.542897254176
135,rodent.xml,2,64,0.1835949420928955,697.186962455831
136,rodent.xml,2,76,0.21819782257080078,696.6155675118118
137,rodent.xml,2,91,0.26080775260925293,697.832016798503
138,rodent.xml,2,108,0.31005239486694336,696.6564476713517
139,rodent.xml,2,128,0.36714720726013184,697.2680029637769
140,rodent.xml,2,152,0.4361081123352051,697.0748569023109
141,rodent.xml,2,181,0.520050048828125,696.0868493633003
142,rodent.xml,2,215,0.6169075965881348,697.0249716135046
143,rodent.xml,2,256,0.7339205741882324,697.6231734153357
144,rodent.xml,2,304,0.8726325035095215,696.7423257267725
