,model,n_steps,n_envs,n_workers,run_time,steps_per_second
0,humanoid_mjx.xml,1,1,48,0.0746603012084961,13.393999003665998
1,humanoid_mjx.xml,1,1,48,0.07499456405639648,13.334299793355587
2,humanoid_mjx.xml,1,1,48,0.07625150680541992,13.114494937809157
3,humanoid_mjx.xml,1,2,48,0.07441878318786621,26.87493552469284
4,humanoid_mjx.xml,1,2,48,0.07636070251464844,26.19148245285375
5,humanoid_mjx.xml,1,2,48,0.07519745826721191,26.596643637781746
6,humanoid_mjx.xml,1,3,48,0.07519340515136719,39.897115896811506
7,humanoid_mjx.xml,1,3,48,0.07549548149108887,39.73747753836243
8,humanoid_mjx.xml,1,4,48,0.07616591453552246,52.516929973111125
9,humanoid_mjx.xml,1,5,48,0.07649660110473633,65.36238117500389
10,humanoid_mjx.xml,1,6,48,0.07652759552001953,78.40309053523583
11,humanoid_mjx.xml,1,7,48,0.07627725601196289,91.77047479136061
12,humanoid_mjx.xml,1,8,48,0.07527542114257812,106.27638980388183
13,humanoid_mjx.xml,1,10,48,0.07658958435058594,130.5660565309426
14,humanoid_mjx.xml,1,11,48,0.07605195045471191,144.63797357242504
15,humanoid_mjx.xml,1,13,48,0.07776141166687012,167.1780349833668
16,humanoid_mjx.xml,1,16,48,0.07683229446411133,208.24576581496814
17,humanoid_mjx.xml,1,19,48,0.07633447647094727,248.90456944748104
18,humanoid_mjx.xml,1,23,48,0.07565522193908691,304.0107399132109
19,humanoid_mjx.xml,1,27,48,0.07492375373840332,360.3663544978091
20,humanoid_mjx.xml,1,32,48,0.07656717300415039,417.933675026312
21,humanoid_mjx.xml,1,38,48,0.07725715637207031,491.86381928157016
22,humanoid_mjx.xml,1,45,48,0.07718682289123535,583.0010656535236
23,humanoid_mjx.xml,1,54,48,0.07858705520629883,687.1360665983048
24,humanoid_mjx.xml,1,64,48,0.07854676246643066,814.8012469304809
25,humanoid_mjx.xml,1,76,48,0.07810735702514648,973.0197371232517
26,humanoid_mjx.xml,1,91,48,0.0802309513092041,1134.2256138693008
27,humanoid_mjx.xml,1,108,48,0.0775597095489502,1392.475560159725
28,humanoid_mjx.xml,1,128,48,0.07938694953918457,1612.3556925035964
29,humanoid_mjx.xml,1,152,48,0.07815980911254883,1944.7335110698968
30,humanoid_mjx.xml,1,181,48,0.07804036140441895,2319.312683113114
31,humanoid_mjx.xml,1,215,48,0.07829952239990234,2745.8660463076867
32,humanoid_mjx.xml,1,256,48,0.07940888404846191,3223.820647621335
33,humanoid_mjx.xml,1,304,48,0.08017754554748535,3791.5852614864
34,humanoid_mjx.xml,1,362,48,0.07959890365600586,4547.801331088893
35,humanoid_mjx.xml,1,431,48,0.07928919792175293,5435.797199327646
36,humanoid_mjx.xml,1,512,48,0.07953286170959473,6437.590563124841
37,humanoid_mjx.xml,1,609,48,0.08179187774658203,7445.72709147088
38,humanoid_mjx.xml,1,724,48,0.07991909980773926,9059.161098432303
39,humanoid_mjx.xml,1,861,48,0.08280014991760254,10398.531897065557
40,humanoid_mjx.xml,1,1024,48,0.08457183837890625,12108.049436175012
41,humanoid_mjx.xml,1,1218,48,0.08252120018005371,14759.843498912223
42,humanoid_mjx.xml,1,1448,48,0.08092522621154785,17893.060888266922
43,humanoid_mjx.xml,1,1722,48,0.08265304565429688,20834.077998800018
44,humanoid_mjx.xml,1,2048,48,0.08426785469055176,24303.454828898415
45,humanoid_mjx.xml,1,2435,48,0.0865936279296875,28119.851982378856
46,humanoid_mjx.xml,1,2896,48,0.084381103515625,34320.480289330924
47,humanoid_mjx.xml,1,3444,48,0.08622860908508301,39940.34041070703
48,humanoid_mjx.xml,1,4096,48,0.08709526062011719,47028.96542058121
49,humanoid_mjx.xml,1,4871,48,0.09257030487060547,52619.4658946913
50,humanoid_mjx.xml,1,5793,48,0.0951840877532959,60861.01297744914
51,humanoid_mjx.xml,1,6889,48,0.09593510627746582,71808.95781858488
52,humanoid_mjx.xml,1,8192,48,0.09741044044494629,84097.76162165999
53,humanoid_mjx.xml,1,9742,48,0.10338926315307617,94226.41871019219
54,humanoid_mjx.xml,1,11585,48,0.10319375991821289,112264.54011542744
55,humanoid_mjx.xml,1,13777,48,0.11119651794433594,123897.76455856876
56,humanoid_mjx.xml,1,16384,48,0.11669778823852539,140396.83397008167
57,humanoid_mjx.xml,1,19484,48,0.12517881393432617,155649.34183049607
58,humanoid_mjx.xml,1,23170,48,0.1340007781982422,172909.44359832042
59,humanoid_mjx.xml,1,27554,48,0.14630937576293945,188326.96029436207
60,humanoid_mjx.xml,1,32768,48,0.16123151779174805,203235.69764023577
61,humanoid_mjx.xml,1,38968,48,0.17297077178955078,225286.6169054931
62,humanoid_mjx.xml,1,46341,48,0.18842554092407227,245937.99637106265
63,humanoid_mjx.xml,1,55109,48,0.20652079582214355,266844.79778714426
64,humanoid_mjx.xml,1,65536,48,0.22112154960632324,296379.9779654127
65,humanoid_mjx.xml,2,1,48,0.09515976905822754,21.017285138388843
66,humanoid_mjx.xml,2,1,48,0.09288454055786133,21.532108443321885
67,humanoid_mjx.xml,2,1,48,0.09270453453063965,21.573917717465942
68,humanoid_mjx.xml,2,2,48,0.09346294403076172,42.79771027417528
