,n_workers,wallclock_time,steps_per_second,simulator,parallellisation,model,parition,control_inputs,rendering
0,1,18.23724889755249,5483.283172903364,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
1,2,18.14260697364807,11023.77405245551,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
2,4,18.533414125442505,21582.639728040373,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
3,8,18.25966501235962,43812.41383445399,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
4,16,18.33606767654419,87259.71283617955,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
5,32,18.313136100769043,174737.95762734592,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
6,64,40.14899253845215,159406.2414858975,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
7,128,76.25673842430115,167854.0187331295,mujoco,multiprocessing,rodent_mjx,olveczky,none,none
